Station,Source,Net,Station_Latitude,Station_Longitude,Distance,Azimuth,Elevation,Station Name,Start_Time,Station_Elevation,Station_Depth,Earthquake_Latitude,Earthquake_Longitude,Earthquake_Depth,Earthquake_Station_Distance,Back_Azimuth
COCO,IRISDMC,II,-12.1901,96.8349,8.622233637686541,-143.9968262886413,1.0,"West Island, Cocos (Keeling) Islands",2022-05-16T18:50:28.019538Z,1.0,44.79999923706055,-5.244999885559082,102.00769805908203,23.0,954.800048828125,36.965694427490234
KAPI,IRISDMC,II,-5.0142,119.7517,17.673860233644078,90.05736308185061,300.0,"Kappang, Sulawesi, Indonesia",2022-05-16T18:52:29.019538Z,300.0,61.0,-5.244999885559082,102.00769805908203,23.0,1965.2603759765625,268.46844482421875
MBWA,IRISDMC,IU,-21.159,119.7313,23.422910461866795,134.4230075916594,190.0,"Marble Bar, Western Australia",2022-05-16T18:53:32.019538Z,93.0,97.0,-5.244999885559082,102.00769805908203,23.0,2597.827880859375,310.1395568847656
CHTO,IRISDMC,IU,18.8141,98.9443,24.247710720412623,-7.07534630770512,420.0,"Chiang Mai, Thailand",2022-05-16T18:53:40.019538Z,320.0,100.0,-5.244999885559082,102.00769805908203,23.0,2679.33251953125,172.51007080078125
DAV,IRISDMC,IU,7.0697,125.5791,26.551311506284097,62.599605036126405,151.0,"Davao, Philippines",2022-05-16T18:54:01.019539Z,150.0,1.0,-5.244999885559082,102.00769805908203,23.0,2948.09814453125,243.1356201171875
DGAR,IRISDMC,II,-7.4121,72.4525,29.449051274100384,-95.7912324658184,1.0,"Diego Garcia, Chagos Islands, Indian Ocean",2022-05-16T18:54:26.019538Z,1.0,2.0,-5.244999885559082,102.00769805908203,23.0,3274.596923828125,87.55667114257812
KMI,IRISDMC,IC,25.1233,102.74,30.376644730252817,1.3112218619414002,1975.0,"Kunming, Yunnan Province, China",2022-05-16T18:54:35.019538Z,1940.0,35.0,-5.244999885559082,102.00769805908203,23.0,3357.2890625,181.45016479492188
WRAB,IRISDMC,II,-19.9336,134.36,34.71421156332934,117.94862528822968,366.0,"Tennant Creek, NT, Australia",2022-05-16T18:55:13.019538Z,366.0,100.0,-5.244999885559082,102.00769805908203,23.0,3856.8759765625,290.5414123535156
ENH,IRISDMC,IC,30.2762,109.4944,36.23791521105351,10.973300515723611,500.0,"Enshi, Hubei Province, China",2022-05-16T18:55:26.019538Z,500.0,0.0,-5.244999885559082,102.00769805908203,23.0,4007.337890625,192.7409210205078
XAN,IRISDMC,IC,34.0313,108.9237,39.81666329586996,8.965650113057661,630.0,"Xi'an, China",2022-05-16T18:55:56.019538Z,630.0,0.0,-5.244999885559082,102.00769805908203,23.0,4403.91064453125,190.84185791015625
SSE,IRISDMC,IC,31.0948,121.1908,40.69707028944388,25.56384606465668,40.0,"Shanghai, China",2022-05-16T18:56:03.019533Z,40.0,0.0,-5.244999885559082,102.00769805908203,23.0,4505.27392578125,210.24290466308594
PMG,IRISDMC,IU,-9.4047,147.1597,44.945919137912426,98.06582653046664,90.0,"Port Moresby, New Guinea",2022-05-16T18:56:37.019538Z,90.0,0.0,-5.244999885559082,102.00769805908203,23.0,4997.84130859375,271.980224609375
MSEY,IRISDMC,II,-4.6737,55.4792,46.34744749353028,-91.46167490252316,475.0,"Mahe, Seychelles",2022-05-16T18:56:49.019538Z,475.0,6.0,-5.244999885559082,102.00769805908203,23.0,5153.6396484375,92.77686309814453
INCN,IRISDMC,IU,37.47768,126.62436,48.48449920990933,26.198044701284854,55.0,"Inchon, Republic of Korea",2022-05-16T18:57:05.019538Z,52.5,2.5,-5.244999885559082,102.00769805908203,23.0,5370.33447265625,213.7520751953125
KBL,IRISDMC,IU,34.5408,69.0432,50.47725141316842,-35.52421808783225,1920.0,"Kabul, Afghanistan",2022-05-16T18:57:20.020000Z,1913.0,7.0,-5.244999885559082,102.00769805908203,23.0,5595.2177734375,135.24623107910156
ULN,IRISDMC,IU,47.8651,107.0532,53.2953229029598,4.2203937570402,1610.0,"Ulaanbaatar, Mongolia",2022-05-16T18:57:41.019538Z,1610.0,0.0,-5.244999885559082,102.00769805908203,23.0,5900.8671875,186.29026794433594
TAU,IRISDMC,II,-42.9099,147.3204,54.88975878374717,140.46551338305878,132.0,"Hobart, Tasmania, Australia",2022-05-16T18:57:53.019538Z,132.0,0.0,-5.244999885559082,102.00769805908203,23.0,6095.509765625,299.9761657714844
HIA,IRISDMC,IC,49.2704,119.7414,56.65979084448154,13.762435053062536,620.0,"Hailar, Neimenggu Autonomous Region, China",2022-05-16T18:58:06.019536Z,620.0,0.0,-5.244999885559082,102.00769805908203,23.0,6276.51123046875,201.34466552734375
KURK,IRISDMC,II,50.7154,78.6202,59.471766563770416,-16.96478370904077,184.0,"Kurchatov, Kazakhstan",2022-05-16T18:58:25.019536Z,184.0,41.099998474121094,-5.244999885559082,102.00769805908203,23.0,6590.3134765625,152.6207275390625
ERM,IRISDMC,II,42.015,143.1572,60.26930841353491,34.26378626485108,40.0,"Erimo, Hokkaido Island, Japan",2022-05-16T18:58:31.019538Z,40.0,0.0,-5.244999885559082,102.00769805908203,23.0,6684.1953125,229.09609985351562
BORK,IRISDMC,II,53.0461,70.3184,64.12878160011148,-20.54724674604811,334.0,"Burabay, Kazakhstan",2022-05-16T18:58:57.019538Z,334.0,10.100000381469727,-5.244999885559082,102.00769805908203,23.0,7110.1103515625,144.38616943359375
WAKE,IRISDMC,IU,19.2834,166.652,68.1406311728222,66.78714818605354,20.0,Wake Island,2022-05-16T18:59:23.019538Z,-53.0,73.0,-5.244999885559082,102.00769805908203,23.0,7571.78369140625,255.91651916503906
YAK,IRISDMC,IU,62.031,129.6805,70.55688363348193,13.354968862687512,110.0,"Yakutsk, Russia",2022-05-16T18:59:38.019538Z,96.0,14.0,-5.244999885559082,102.00769805908203,23.0,7825.9697265625,209.40628051757812
KIV,IRISDMC,II,43.9553,42.6863,72.40356369130676,-40.50545170802168,1054.0,"Kislovodsk, Russia",2022-05-16T18:59:49.019538Z,1054.0,20.0,-5.244999885559082,102.00769805908203,23.0,8038.23193359375,115.96188354492188
MSVF,IRISDMC,II,-17.7448,178.0528,75.13253122480546,106.9951348758177,801.1,"Monasavu, Fiji",2022-05-16T19:00:05.019536Z,801.0999755859375,100.0,-5.244999885559082,102.00769805908203,23.0,8355.294921875,269.1825256347656
FUNA,IRISDMC,IU,-8.5259,179.1966,76.58976756266472,97.53697381787724,20.0,"Funafuti, Tuvalu",2022-05-16T19:00:13.019538Z,20.0,0.0,-5.244999885559082,102.00769805908203,23.0,8516.892578125,266.6234436035156
VNDA,IRISDMC,GT,-77.517275,161.852758,78.61635089564805,169.00958445922817,121.1,"Dry Valley, Vanda, Antarctica",2022-05-16T19:00:24.000000Z,29.700000762939453,91.4000015258789,-5.244999885559082,102.00769805908203,23.0,8740.8330078125,298.551025390625
OBN,IRISDMC,II,55.1146,36.5674,80.69221727767145,-31.81197066537738,160.0,"Obninsk, Russia",2022-05-16T19:00:36.019538Z,160.0,30.0,-5.244999885559082,102.00769805908203,23.0,8960.8984375,113.34677124023438
TSUM,IRISDMC,IU,-19.2022,17.5838,83.02454984251513,-108.75470186891776,1260.0,"Tsumeb, Namibia",2022-05-16T19:00:48.019538Z,1260.0,0.0,-5.244999885559082,102.00769805908203,23.0,9233.4697265625,93.1289291381836
MIDW,IRISDMC,IU,28.2156,-177.3698,84.27487337483828,60.89824284428489,20.0,"Midway Island, USA",2022-05-16T19:00:54.019536Z,19.0,1.0,-5.244999885559082,102.00769805908203,23.0,9365.8349609375,260.95263671875
ADK,IRISDMC,IU,51.8823,-176.6842,88.79823289252586,37.61292739512514,130.0,"Adak, Aleutian Islands, Alaska",2022-05-16T19:01:16.019538Z,129.0,1.0,-5.244999885559082,102.00769805908203,23.0,9866.771484375,259.95465087890625
JOHN,IRISDMC,IU,16.7329,-169.5292,90.04249704990153,73.19872895608566,2.0,"Johnston Island, USA",2022-05-16T19:01:22.019538Z,2.5,0.0,-5.244999885559082,102.00769805908203,23.0,10009.5888671875,264.568603515625
GRFO,IRISDMC,IU,49.6909,11.2203,94.50594483813558,-40.4553522342592,384.0,"Grafenberg, Germany",2022-05-16T19:01:43.019538Z,285.0,99.0,-5.244999885559082,102.00769805908203,23.0,10504.1357421875,92.79228973388672
BFO,IRISDMC,II,48.3301,8.3296,96.35895610506928,-41.88024197482336,638.0,"Black Forest Observatory, Schiltach, Germany",2022-05-16T19:01:51.019538Z,638.0,160.0,-5.244999885559082,102.00769805908203,23.0,10710.9873046875,90.7505111694336
XMAS,IRISDMC,IU,2.0448,-157.4457,100.68529859674192,88.90317845310322,20.0,"Kiritimati Island, Republic of Kiribati",2022-05-16T19:02:10.019538Z,19.0,1.0,-5.244999885559082,102.00769805908203,23.0,11194.994140625,265.07928466796875
SHEL,IRISDMC,II,-15.9594,-5.7455,105.4740816408862,-108.17442447313944,537.0,"Horse Pasture, St. Helena Island",2022-05-16T19:02:32.019539Z,537.0,60.0,-5.244999885559082,102.00769805908203,23.0,11730.8701171875,100.18099975585938
BORG,IRISDMC,II,64.7474,-21.3268,108.4290632122764,-22.066930902146208,110.0,"Borgarfjordur, Asbjarnarstadir, Iceland",2022-05-16T19:02:45.019539Z,110.0,95.0,-5.244999885559082,102.00769805908203,23.0,12060.5791015625,61.306541442871094
HOPE,IRISDMC,II,-54.2836,-36.4879,111.17017607873528,-155.4900535876976,20.0,"Hope Point, South Georgia Island",2022-05-16T19:02:57.019536Z,20.0,0.0,-5.244999885559082,102.00769805908203,23.0,12378.8798828125,134.88916015625
ASCN,IRISDMC,II,-7.9327,-14.3601,115.17749207676192,-101.32024126817272,173.0,"Butt Crater, Ascension Island",2022-05-16T19:03:15.019539Z,173.0,24.299999237060547,-5.244999885559082,102.00769805908203,23.0,12808.318359375,99.57978820800781
MACI,IRISDMC,IU,28.2502,-16.508199,117.51924829660037,-60.78250492895405,1674.0,"Morro de la Arena, Canary Islands",2022-05-16T19:03:25.000000Z,1674.0,0.0,-5.244999885559082,102.00769805908203,23.0,13067.96875,80.67110443115234
EFI,IRISDMC,II,-51.6753,-58.0637,120.58571539796662,-165.7870397595526,110.0,"Mount Kent, East Falkland Island",2022-05-16T19:03:39.019539Z,110.0,64.0,-5.244999885559082,102.00769805908203,23.0,13430.830078125,156.72515869140625
CMLA,IRISDMC,II,37.7637,-25.5243,122.38249647227056,-47.93227543698661,429.0,"Cha de Macela, Sao Miguel Island, Azores",2022-05-16T19:03:47.019539Z,429.0,88.4000015258789,-5.244999885559082,102.00769805908203,23.0,13612.4345703125,69.32575225830078
COR,IRISDMC,IU,44.5855,-123.3046,124.2583353206882,37.77974179977084,110.0,"Corvallis, Oregon, USA",2022-05-16T19:03:55.019536Z,-40.0,150.0,-5.244999885559082,102.00769805908203,23.0,13824.244140625,300.9783020019531
FFC,IRISDMC,II,54.725,-101.9783,126.87362239962982,17.065629918259944,338.0,"Flin Flon, Canada",2022-05-16T19:04:07.019538Z,338.0,0.0,-5.244999885559082,102.00769805908203,23.0,14120.783203125,329.5433654785156
CMB,NCEDC,BK,38.03455,-120.386513,129.4629032209238,43.4604861641179,697.0,"Columbia College, Columbia, CA, USA",2022-05-16T19:04:18.019538Z,697.0,2.0,-5.244999885559082,102.00769805908203,23.0,14402.3935546875,299.4788513183594
NV31,IRISDMC,IM,38.4328,-118.155403,130.76455989943037,41.840084005992864,1509.0,"NVAR Array Site 31, Mina, NV, USA",2022-05-16T19:04:24.000000Z,1509.0,0.0,-5.244999885559082,102.00769805908203,23.0,14547.841796875,301.90020751953125
PASC,SCEDC,CI,34.17141,-118.18523,132.898337235399,46.79238076723344,341.0,Art Center College of Design (GSN-affiliate),2022-05-16T19:04:32.994500Z,341.0,0.0,-5.244999885559082,102.00769805908203,23.0,14783.8291015625,298.5732116699219
TRQA,IRISDMC,IU,-38.0568,-61.9787,134.21278556936048,-162.358786420058,540.0,"Tornquist, Argentina",2022-05-16T19:04:39.019538Z,508.0,32.0,-5.244999885559082,102.00769805908203,23.0,14945.9814453125,157.3788299560547
RCBR,IRISDMC,IU,-5.8274,-35.9014,136.54166925367514,-104.18836661974044,400.0,"Riachuelo, Brazil",2022-05-16T19:04:50.019538Z,292.0,108.0,-5.244999885559082,102.00769805908203,23.0,15184.052734375,103.8742904663086
TUC,IRISDMC,IU,32.3098,-110.7847,139.14511532611863,44.407347855470405,910.0,"Tucson, Arizona",2022-05-16T19:05:01.019539Z,909.0,1.0,-5.244999885559082,102.00769805908203,23.0,15479.681640625,304.3359375
ANMO,IRISDMC,IU,34.94591,-106.4572,140.34897216272583,37.75232304540646,1820.0,"Albuquerque, New Mexico, USA",2022-05-16T19:05:07.019538Z,1632.699951171875,188.0,-5.244999885559082,102.00769805908203,23.0,15615.7333984375,311.8152770996094
HRV,IRISDMC,IU,42.5064,-71.5583,142.30321070482924,-7.764262077932928,200.0,"Adam Dziewonski Observatory (Oak Ridge), Massachusetts, USA",2022-05-16T19:05:15.019538Z,200.0,0.0,-5.244999885559082,102.00769805908203,23.0,15839.7958984375,10.552539825439453
SLBS,IRISDMC,IU,23.6858,-109.9443,144.14348194462428,55.827964302117685,825.0,"Sierra la Laguna Baja California Sur, Mexico",2022-05-16T19:05:23.019538Z,825.0,0.0,-5.244999885559082,102.00769805908203,23.0,16031.9794921875,295.75762939453125
WCI,IRISDMC,IU,38.2289,-86.2939,146.1631909948162,11.752761405774114,210.0,"Wyandotte Cave, Indiana, USA",2022-05-16T19:05:32.019538Z,78.0,132.0,-5.244999885559082,102.00769805908203,23.0,16268.1611328125,344.9765930175781
HKT,IRISDMC,IU,29.96478,-95.83812,150.0951417588074,32.175816846476536,69.0,Hockley1 Texas,2022-05-16T19:08:07.019538Z,-24.0,93.0,-5.244999885559082,102.00769805908203,23.0,16700.3984375,322.1177673339844
DWPF,IRISDMC,IU,28.1103,-81.4327,156.90239662761624,7.754380376438364,30.0,"Disney Wilderness Preserve, Florida, USA",2022-05-16T19:08:17.019538Z,-132.0,162.0,-5.244999885559082,102.00769805908203,23.0,17459.673828125,351.1927490234375
BBGH,IRISDMC,CU,13.1434,-59.5588,160.1792251266704,-65.24522901866898,180.0,"Gun Hill, Barbados",2022-05-16T19:08:21.000001Z,180.0,0.0,-5.244999885559082,102.00769805908203,23.0,17812.201171875,68.3481216430664
GRTK,IRISDMC,CU,21.51149,-71.1327,162.42785937944817,-21.59554405236127,12.0,"Grand Turk, Turks and Caicos Islands",2022-05-16T19:08:24.019538Z,12.0,0.0,-5.244999885559082,102.00769805908203,23.0,18070.123046875,23.321624755859375
SDDR,IRISDMC,CU,18.9821,-71.2878,164.78678498688075,-24.879595418651263,589.0,"Presa de Sabenta, Dominican Republic",2022-05-16T19:08:26.000000Z,589.0,0.0,-5.244999885559082,102.00769805908203,23.0,18330.884765625,26.43527603149414
PAYG,IRISDMC,IU,-0.6742,-90.2861,166.36921843713458,115.3852142932472,270.0,"Puerto Ayora, Galapagos Islands",2022-05-16T19:08:27.019538Z,184.0,86.0,-5.244999885559082,102.00769805908203,23.0,18500.47265625,244.27279663085938
JTS,IRISDMC,II,10.2908,-84.9525,171.45681879755122,53.37941748242071,340.0,"Las Juntas de Abangares, Costa Rica",2022-05-16T19:08:30.019538Z,340.0,0.0,-5.244999885559082,102.00769805908203,23.0,19066.3359375,305.5014343261719
OTAV,IRISDMC,IU,0.2376,-78.4508,174.9717138391776,174.76162671818895,3510.0,"Otavalo, Ecuador",2022-05-16T19:08:32.019538Z,3495.0,15.0,-5.244999885559082,102.00769805908203,23.0,19458.794921875,185.2513427734375
